Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
WA4811112069920060706,187,First,WA4811112069920060706_WA4822612066620150629_1,2006,2006-205,1.279999971,-1.35086725,Mixed
ID4451811531020060807,219,Second,ID4448411541019870804_ID4451811531020060807_1,2006,2006-235,0.625616389,-0.570834425,High
ID4513411480420060707,188,Second,ID4519911475819880824_ID4513411480420060707_1,2006,2006-205,1.459644129,-1.200418516,Low
CA4141412317720060723,204,First,CA4141412317720060723_CA4143512316220170626_1,2006,2006-220,0.031396204,-0.032792014,Low
OR4427112168020060723,204,First,OR4427112168020060723_OR4425712174320170811_1,2006,2006-220,0.6704521,-0.605805747,Mixed
CA4160912335520060723,204,Second,CA4163812338919870830_CA4160912335520060723_1,2006,2006-220,0.330687132,0.08752643,Low
ID4550511588320060816,228,First,ID4550511588320060816_ID4554811595020170801_1,2006,2006-245,0.026504644,-0.072275777,Low
CA3966212292720060724,205,First,CA3966212292720060724_CA3966012280920200817_1,2006,2006-220,1.375640047,-1.346631949,Low
CA4142612330620060724,205,Second,CA4141212331619870830_CA4142612330620060724_1,2006,2006-220,0.069525815,0.119084481,Low
CA4095112320220060902,245,First,CA4095112320220060902_CA4119412345820200727_1,2006,2006-260,0.808888864,-0.884000237,Low
CA4095112320220060902,245,Second,CA4080812321419850726_CA4095112320220060902_1,2006,2006-260,0.338404036,-0.516503789,Low
CA4095112320220060902,245,Second,CA4105412315719870830_CA4095112320220060902_1,2006,2006-260,0.874371828,-0.956922451,Low
OR4259112058820070315,74,First,OR4259112058820070315_OR4257212055720200908_1,2007,2007-090,1.643913612,-1.131825764,Mixed
OR4468212159620070712,193,First,OR4468212159620070712_OR4472312167920200817_1,2007,2007-210,-9.39e-4,0.200121045,Mixed
WA4814412059320070805,217,First,WA4814412059320070805_WA4822612066620150629_1,2007,2007-235,-0.596804149,0.243832015,Low
ID4554811559420070713,194,Second,ID4543311548219850715_ID4554811559420070713_1,2007,2007-210,1.174182015,-1.070750266,Low
ID4554811559420070713,194,Second,ID4546711572619920818_ID4554811559420070713_1,2007,2007-210,1.589473389,-1.389099972,Low
ID4554811559420070713,194,Second,ID4549611561419920820_ID4554811559420070713_1,2007,2007-210,1.729551399,-1.327830238,Low
